310,"2022-05-05 02:05:53",627330e816f23,,,0,,,,2,1,"3,0,4,1,2"
311,"2022-05-05 02:05:54",627330e816f23,,,0,,,,2,1,"3,4,0,1,2"
312,"2022-05-05 02:06:03",627330e816f23,,,0,,,,1,2,"0,1,2"
313,"2022-05-05 02:06:03",627330e816f23,,,0,,,,1,2,"2,1,0"
314,"2022-05-05 02:06:05",627330e816f23,,,0,,,,1,2,"2,0,1"
315,"2022-05-05 02:06:11",627330e816f23,,,0,,,,5,6,"1,2,3,4,5,6,0,7,8,9,10"
316,"2022-05-11 14:14:30",627bc4b2a9502,627bc4b27980c,JP,2,COLOMBIA,M,UDFJC,3,2,"1,2,0,3,4,5,6"
317,"2022-05-11 14:15:54",627bc4b2a9502,627bc4b27980c,JP,2,COLOMBIA,M,UDFJC,3,2,"1,2,4,3,0,5,6"
318,"2022-05-11 14:16:22",627bc4b2a9502,627bc4b27980c,JP,2,COLOMBIA,M,UDFJC,3,2,"1,2,4,0,3,5,6"
319,"2022-05-11 14:16:52",627bc4b2a9502,627bc4b27980c,JP,2,COLOMBIA,M,UDFJC,3,2,"1,2,4,5,3,0,6"
320,"2022-05-11 14:28:17",627bc4b2a9502,627bc4b27980c,JP,2,COLOMBIA,M,UDFJC,3,3,"1,2,3,0,4,5,6"
